,location,crop,season,indicator,Unit,Date,Value,State,mean
152,Adilabad,Wheat,Rabi,Production (In Tonnes),tonnes,2011,5199.0,Telangana,79.6026315789
153,Adilabad,Wheat,Rabi,Production (In Tonnes),tonnes,2012,4330.0,Telangana,79.6026315789
154,Adilabad,Wheat,Rabi,Yield (Tonnes/Hect.),Tonnes/Hect,1999,0.57142857143,Telangana,79.6026315789
155,Adilabad,Wheat,Rabi,Yield (Tonnes/Hect.),Tonnes/Hect,2000,0.67003027245,Telangana,79.6026315789
156,Adilabad,Wheat,Rabi,Yield (Tonnes/Hect.),Tonnes/Hect,2001,0.50203748981,Telangana,79.6026315789
157,Adilabad,Wheat,Rabi,Yield (Tonnes/Hect.),Tonnes/Hect,2002,0.89411448535,Telangana,79.6026315789
158,Adilabad,Wheat,Rabi,Yield (Tonnes/Hect.),Tonnes/Hect,2003,0.92011019284,Telangana,79.6026315789
159,Adilabad,Wheat,Rabi,Yield (Tonnes/Hect.),Tonnes/Hect,2004,0.59812597605,Telangana,79.6026315789
160,Adilabad,Wheat,Rabi,Yield (Tonnes/Hect.),Tonnes/Hect,2005,0.29015544041,Telangana,79.6026315789
161,Adilabad,Wheat,Rabi,Yield (Tonnes/Hect.),Tonnes/Hect,2006,0.34209183673,Telangana,79.6026315789
162,Adilabad,Wheat,Rabi,Yield (Tonnes/Hect.),Tonnes/Hect,2007,0.77901924271,Telangana,79.6026315789
163,Adilabad,Wheat,Rabi,Yield (Tonnes/Hect.),Tonnes/Hect,2008,1.0,Telangana,79.6026315789
164,Adilabad,Wheat,Rabi,Yield (Tonnes/Hect.),Tonnes/Hect,2009,1.1629526462,Telangana,79.6026315789
165,Adilabad,Wheat,Rabi,Yield (Tonnes/Hect.),Tonnes/Hect,2010,1.3461084906,Telangana,79.6026315789
166,Adilabad,Wheat,Rabi,Yield (Tonnes/Hect.),Tonnes/Hect,2011,1.2849728127,Telangana,79.6026315789
167,Adilabad,Wheat,Rabi,Yield (Tonnes/Hect.),Tonnes/Hect,2012,1.3221374046,Telangana,79.6026315789
168,Adilabad,Jowar,Total,Area (In Hectare),hectare,1999,143300.0,Telangana,79.6026315789
169,Adilabad,Jowar,Total,Area (In Hectare),hectare,2000,133217.0,Telangana,79.6026315789
170,Adilabad,Jowar,Total,Area (In Hectare),hectare,2001,120999.0,Telangana,79.6026315789
171,Adilabad,Jowar,Total,Area (In Hectare),hectare,2002,111285.0,Telangana,79.6026315789
172,Adilabad,Jowar,Total,Area (In Hectare),hectare,2003,92321.0,Telangana,79.6026315789
173,Adilabad,Jowar,Total,Area (In Hectare),hectare,2004,98630.0,Telangana,79.6026315789
174,Adilabad,Jowar,Total,Area (In Hectare),hectare,2005,93162.0,Telangana,79.6026315789
175,Adilabad,Jowar,Total,Area (In Hectare),hectare,2006,81527.0,Telangana,79.6026315789
176,Adilabad,Jowar,Total,Area (In Hectare),hectare,2007,77115.0,Telangana,79.6026315789
177,Adilabad,Jowar,Total,Area (In Hectare),hectare,2008,53000.0,Telangana,79.6026315789
178,Adilabad,Jowar,Total,Area (In Hectare),hectare,2009,44968.0,Telangana,79.6026315789
179,Adilabad,Jowar,Total,Area (In Hectare),hectare,2010,58316.0,Telangana,79.6026315789
180,Adilabad,Jowar,Total,Area (In Hectare),hectare,2011,40721.0,Telangana,79.6026315789
181,Adilabad,Jowar,Total,Area (In Hectare),hectare,2012,27579.0,Telangana,79.6026315789
182,Adilabad,Jowar,Total,Production (In Tonnes),tonnes,1999,101300.0,Telangana,79.6026315789
183,Adilabad,Jowar,Total,Production (In Tonnes),tonnes,2000,97454.0,Telangana,79.6026315789
184,Adilabad,Jowar,Total,Production (In Tonnes),tonnes,2001,119483.0,Telangana,79.6026315789
185,Adilabad,Jowar,Total,Production (In Tonnes),tonnes,2002,125357.0,Telangana,79.6026315789
186,Adilabad,Jowar,Total,Production (In Tonnes),tonnes,2003,84380.0,Telangana,79.6026315789
